title,summary
Harry Potter and the Goblet of Fire (film),"Harry Potter and the Goblet of Fire is a 2005 fantasy film directed by Mike Newell and distributed by Warner Bros. Pictures. It is based on J. K. Rowling's 2000 novel of the same name. The film, which is the fourth instalment in the Harry Potter film series, was written by Steve Kloves and produced by David Heyman. The story follows Harry's fourth year at Hogwarts as he is chosen by the Goblet of Fire to compete in the Triwizard Tournament.
The film is the first of the series to receive a PG-13 certificate in the US, and a 12A in the UK, and stars Daniel Radcliffe as Harry Potter alongside Rupert Grint and Emma Watson as Harry's best friends Ron Weasley and Hermione Granger. It is the sequel to Harry Potter and the Prisoner of Azkaban and is followed by Harry Potter and the Order of the Phoenix.
Filming began in early 2004. The Hogwarts scenes were shot at the Leavesden Film Studios. Five days after its release, the film had grossed over US$102 million at the North American box office, which is the third-highest first-weekend tally for a Harry Potter film behind Harry Potter and the Deathly Hallows – Part 1 and Part 2. Goblet of Fire enjoyed an immensely successful run at the box office, earning $896 million worldwide, which made it the highest-grossing film of 2005 and the sixth-highest-grossing film in the Harry Potter series.
The film was nominated for the Academy Award for Best Art Direction, and won the BAFTA Award for Best Production Design. Goblet of Fire was the second film in the series to be released in IMAX. The film is one of the best-reviewed instalments within the series, being praised for the higher level of maturity and sophistication of its characters, plotline, tone, screenplay, and the performances of the lead actors."
Grumpy Old Men (musical),"Grumpy Old Men: The Musical is a stage musical with book by Dan Remmes songs composed by Neil Berg and lyrics by Nick Meglin. The music was orchestrated by Emmy- and Tony-winning orchestrator/composer Larry Hochman with additional orchestrations by Phil Reno. It is based on the 1993 Warner Bros. film Grumpy Old Men by Mark Steven Johnson which starred Jack Lemmon, Walter Matthau and Ann-Margret.  It tells the story of two childhood friends, John Gustafson and Max Goldman, now aging neighbors.  An old grudge resurfaces when a mysterious woman moves in across the street.
The musical premiered in the United States at the storied Ogunquit Playhouse in Ogunquit, Maine in 2018. Its West Coast premiere was in Southern California at the La Mirada Theatre for the Performing Arts in 2019. Both premiere productions were directed by Matt Lenz and choreographed by Michele Lynch."
Memento (film),"Memento is a 2000 American neo-noir psychological thriller film written and directed by Christopher Nolan, and produced by Suzanne and Jennifer Todd. The film's script was based on a pitch by Jonathan Nolan, who later wrote the story ""Memento Mori"" from the concept. Guy Pearce stars as a man who, as a result of an injury, has anterograde amnesia (the inability to form new memories) and has short-term memory loss approximately every fifteen minutes. He is searching for the people who attacked him and killed his wife, using an intricate system of Polaroid photographs and tattoos to track information he cannot remember.
The film is presented as two different sequences of scenes interspersed during the film: a series in black-and-white that is shown chronologically, and a series of color sequences shown in reverse order (simulating for the audience the mental state of the protagonist). The two sequences meet at the end of the film, producing one complete and cohesive narrative.Memento premiered at the 57th Venice International Film Festival on September 5, 2000, and was released in the United States on March 16, 2001. It was acclaimed by critics, who praised its nonlinear narrative structure and motifs of memory, perception, grief, and self-deception, and earned $39.7 million over a $4.5 million budget. Memento received numerous accolades, including Oscar nominations for Best Original Screenplay and Best Film Editing. The film is now widely regarded as one of Nolan's finest works and one of the best films of the 2000s. In 2017 the United States Library of Congress deemed the film ""culturally, historically, or aesthetically significant"" and selected it for preservation in the National Film Registry."
Coraline (film),"Coraline is a 2009 American stop-motion animated dark fantasy horror film directed and written for the screen by Henry Selick based on the 2002 novella of the same name by Neil Gaiman. Produced by Laika as its first feature film, Coraline stars the voices of Dakota Fanning, Teri Hatcher, Jennifer Saunders, Dawn French, Keith David, John Hodgman, Robert Bailey Jr., and Ian McShane. The film depicts an adventurous girl named Coraline finding an idealized parallel world behind a secret door in her new home, unaware that the alternative world contains a dark and sinister secret.
The film was released in United States theaters on February 6, 2009 by Focus Features after a world premiere at the Portland International Film Festival, and received critical acclaim. The film made $16.85 million during opening weekend, ranking third at the box office, and by the end of its run had grossed over $124 million worldwide, making it the third highest-grossing stop-motion film of all time after Wallace and Gromit: The Curse of the Were-Rabbit and Chicken Run. Coraline won Annie Awards for Best Music in an Animated Feature Production, Best Character Design in an Animated Feature Production and Best Production Design in an Animated Feature Production, and received nominations for an Academy Award for Best Animated Feature and a Golden Globe Award for Best Animated Feature Film."
Edward Scissorhands,"Edward Scissorhands is a 1990 American fantasy romance film directed by Tim Burton. It was produced by Burton and Denise Di Novi, and written by Caroline Thompson from a story by her and Burton. Johnny Depp plays an artificial man named Edward, an unfinished creation who has scissor blades instead of hands. The young man is taken in by a suburban family and falls in love with their teenage daughter Kim (Winona Ryder). Additional roles were played by Dianne Wiest, Anthony Michael Hall, Kathy Baker, Vincent Price and Alan Arkin.
Burton conceived Edward Scissorhands from his childhood upbringing in suburban Burbank, California. During pre-production of Beetlejuice, Caroline Thompson was hired to adapt Burton's story into a screenplay, and the film began development at 20th Century Fox, after Warner Bros. declined. Edward Scissorhands was then fast tracked after Burton's critical and financial success with Batman. The majority of filming took place in Lutz, Florida between March 26 and July 19, 1990. The film also marks the fourth collaboration between Burton and film score composer Danny Elfman. The leading role of Edward had been connected to several actors prior to Depp's casting: a meeting between Burton and the preferred choice of the studio, Tom Cruise, was not fruitful, and Tom Hanks and Gary Oldman turned down the part. The character of The Inventor was devised specifically for Vincent Price, and would be his last major role. Edward's scissor hands were created and designed by Stan Winston.
Edward Scissorhands was released to a positive reception from critics and was a financial success, grossing over four times its $20 million budget. The film received numerous nominations at the Academy Awards, British Academy Film Awards, and the Saturn Awards, as well as winning the Hugo Award for Best Dramatic Presentation. Both Burton and Elfman consider Edward Scissorhands their most personal and favorite work."
Sense and Sensibility (film),"Sense and Sensibility is a 1995 American period drama film directed by Ang Lee and based on Jane Austen's 1811 novel of the same name. Emma Thompson wrote the screenplay and stars as Elinor Dashwood, while Kate Winslet plays Elinor's younger sister Marianne. The story follows the Dashwood sisters, members of a wealthy English family of landed gentry, as they must deal with circumstances of sudden destitution. They are forced to seek financial security through marriage. Hugh Grant and Alan Rickman play their respective suitors. The film was released on December 13, 1995, in the United States.
Producer Lindsay Doran, a longtime admirer of Austen's novel, hired Thompson to write the screenplay. She spent five years drafting numerous revisions, continually working on the script between other films as well as into production of the film itself. Studios were nervous that Thompson – a first-time screenwriter – was the credited writer, but Columbia Pictures agreed to distribute the film. Though initially intending to have another actress portray Elinor, Thompson was persuaded to take the role.
Thompson's screenplay exaggerated the Dashwood family's wealth to make their later scenes of poverty more apparent to modern audiences. It also altered the traits of the male leads to make them more appealing to contemporary viewers. Elinor and Marianne's different characteristics were emphasised through imagery and invented scenes. Lee was selected as director, both due to his work in the 1993 film The Wedding Banquet and because Doran believed he would help the film appeal to a wider audience. Lee was given a budget of $16 million.
A commercial success, earning $135 million worldwide, the film garnered overwhelmingly positive reviews upon release and received many accolades, including three awards and eleven nominations at the 1995 British Academy Film Awards. It earned seven Academy Awards nominations, including for Best Picture and Best Actress. Thompson received the award for Best Adapted Screenplay, becoming the only person to have won Academy Awards for both acting and screenwriting. Sense and Sensibility contributed to a resurgence in popularity for Austen's works, and has led to many more productions in similar genres. It persists in being recognised as one of the best Austen adaptations of all time."
Spider-Man (2002 film),"Spider-Man is a 2002 American superhero film based on the Marvel Comics character of the same name. Directed by Sam Raimi from a screenplay by David Koepp, it is the first installment in the Spider-Man trilogy, and stars Tobey Maguire as the title character, alongside Willem Dafoe, Kirsten Dunst, James Franco, Cliff Robertson, and Rosemary Harris. The film centers on an outcast teen genius named Peter Parker, who develops spider-like superhuman abilities after being bitten by a genetically-altered spider. After his foster father/uncle is murdered by an armed felon, something for which he was partially responsible, a guilt-ridden Parker is later driven to use his new abilities for a nobler purpose, as the hero/vigilante Spider-Man, to atone for his uncle's murder. The rest of the film focuses on Parker's efforts to balance his personal life as he graduates from high school and becomes a freelance photographer, while also struggling with his studies, his friendship with his childhood best friend Harry Osborn, his growing feelings for his former high school crush Mary Jane Watson, and his dual life as Spider-Man.
After progress on the film stalled for nearly 25 years, it was licensed for a worldwide release by Columbia Pictures in 1999 after it acquired options from Metro-Goldwyn-Mayer on all previous scripts developed by Cannon Films, Carolco, and New Cannon. Exercising its option on just two elements from the multi-script acquisition (a different screenplay was written by James Cameron, Ted Newsom, John Brancato, Barney Cohen, and Joseph Goldman), Sony hired Koepp to create a working screenplay (credited as Cameron's), and Koepp received sole credit in final billing. Directors Roland Emmerich, Ang Lee, Chris Columbus, Jan de Bont, M. Night Shyamalan, Tony Scott, and David Fincher were considered to direct the project before Raimi was hired as director in 2000. The Koepp script was rewritten by Scott Rosenberg during pre-production and received a dialogue polish from Alvin Sargent during production. Filming took place in Los Angeles and New York City from January 8 to June 30, 2001. Sony Pictures Imageworks handled the film's visual effects.Spider-Man premiered at the Mann Village Theater on April 29, 2002, and was released in the United States four days later on May 3. The film received positive reviews from audiences and critics, who praised Raimi's direction and tone, the faithfulness and fidelity to the Spider-Man mythos, the action sequences, visual effects, Danny Elfman's musical score, and the performances of the cast, particularly Dafoe and Maguire. The film became a financial success: it was the first film to reach $100 million in a single weekend, and became the most successful film based on a comic book at the time. With a box office gross of over $821.7 million worldwide, it was the third highest-grossing film of 2002. Spider-Man is credited for redefining the modern superhero genre, as well as the summer blockbuster. Its success led to Spider-Man 2 and Spider-Man 3 in 2004 and 2007, respectively.

"
Pagal (film),"Pagal   is a 1940 Indian Hindi-language film. It was the fourth highest grossing Indian film of 1940. The psycho-social melodrama was directed by A. R. Kardar for Ranjit Movietone. The story and dialogues were also by Kardar. Khemchand Prakash composed the music with lyrics written by D. N. Madhok. The film had Prithviraj Kapoor playing a doctor with psychological problems, working in a ""lunatic asylum"". The rest of the cast included Madhuri, Sitara Devi, Noor Mohammed Charlie, Khatoon, Trilok Kapoor and Sunalini Devi.The film involves a doctor who loves a girl, but marries her sister due to an unfortunate coincidence. His treatment of his wife and the girl he loves, and his own eventual deterioration into insanity forms the basis of story. Prithviraj Kapoor's performance was appreciated by the critics and the audience, making the film a big commercial success."
Donnie Darko,"Donnie Darko is a 2001 American science fiction psychological thriller film written and directed by Richard Kelly. It stars Jake Gyllenhaal, Jena Malone, Maggie Gyllenhaal, Drew Barrymore, Mary McDonnell, Katharine Ross, Patrick Swayze, Noah Wyle, Stu Stone, Daveigh Chase and James Duval. The film follows the adventures of the troubled titular character as he seeks to find the meaning behind his doomsday-related visions.
Filmed over the course of 28 days, which matches the passage of time in the film, Donnie Darko was almost released straight-to-video. It was screened at the Sundance Film Festival on January 19, 2001, before receiving a limited theatrical release on October 26, 2001, by Flower Films. Due to the film's advertising featuring a crashing plane and the September 11 attacks that transpired a month before, the film was scarcely advertised. The film grossed just over $7.5 million worldwide on a budget of $4.5 million.Despite its initial lackluster box office performance, Donnie Darko received critical acclaim. Critics lauded the story, acting, and tone. It was listed No. 2 in Empire's ""50 Greatest Independent Films of All Time"", as well as No. 53 in Empire's ""500 Greatest Movies of All Time"". It was released on VHS and DVD in March 2002. The film became a surprising success on the home video market, reportedly grossing over half a million in sales and developing a cult following.  A director's cut was released in 2004, on a two-disc special edition DVD. A stage adaptation appeared in 2007, and a sequel, S. Darko, in 2009.
The film's soundtrack included a cover version of Tears for Fears's ""Mad World"" by Gary Jules and Michael Andrews which topped the UK Singles Chart for three consecutive weeks; the song achieved lukewarm success in the United States, reaching No. 30 on the Billboard Modern Rock Tracks chart."
Wallace & Gromit: The Curse of the Were-Rabbit,"Wallace & Gromit: The Curse of the Were-Rabbit is a 2005 stop-motion animated comedy film produced by Aardman Animations in partnership with DreamWorks Animation. United International Pictures distributed the film in the United Kingdom, and it was the last DreamWorks Animation film to be distributed by DreamWorks Pictures in the United States. It was directed by Nick Park and Steve Box as the second feature-length film by Aardman after Chicken Run (2000). The movie was released in Sydney, Australia on 4 September 2005, before being released in cinemas early in Australia on 15 September 2005, the United States and Canada on 7 October 2005, and in British cinemas in the United Kingdom a week later on 14 October 2005.
The Curse of the Were-Rabbit is a parody of classic monster movies and Hammer Horror flicks and also serves as part of the Wallace and Gromit series, created by Park. The film follows good-natured yet eccentric cheese-loving inventor Wallace and Gromit, his intelligent mute dog in their latest venture as pest control agents, as they come to the rescue of a village plagued by rabbits before an annual vegetable competition.
The film features an expanded cast of characters relative to the previous Wallace and Gromit shorts, with a voice cast including Helena Bonham Carter and Ralph Fiennes. It was a critical and commercial success, and won a number of film awards including the Oscar for Best Animated Feature, making it the second film from DreamWorks Animation to win (after Shrek), as well as both the second non-American animated film and second non computer-animated film to have received this achievement (after Spirited Away)."
Apollo 13 (film),"Apollo 13 is a 1995 American space docudrama film directed by Ron Howard and starring Tom Hanks, Kevin Bacon, Bill Paxton, Ed Harris, and Gary Sinise. The screenplay by William Broyles Jr. and Al Reinert dramatizes the aborted 1970 Apollo 13 lunar mission and is an adaptation of the 1994 book Lost Moon: The Perilous Voyage of Apollo 13 by astronaut Jim Lovell and Jeffrey Kluger. The film depicts astronauts Lovell, Jack Swigert, and Fred Haise aboard Apollo 13 for America's third Moon landing mission. En route, an on-board explosion deprives their spacecraft of most of its oxygen supply and electric power, forcing NASA's flight controllers to abort the Moon landing, and turning the mission into a struggle to get the three men home safely.
Howard went to great lengths to create a technically accurate movie, employing NASA's technical assistance in astronaut and flight controller training for his cast, and obtaining permission to film scenes aboard a reduced gravity aircraft for realistic depiction of the ""weightlessness"" experienced by the astronauts in space.
Released to cinemas in the United States on June 30, 1995, Apollo 13 received critical acclaim and was nominated for nine Academy Awards, including Best Picture (winning for Best Film Editing and Best Sound). In total, the film grossed over $355 million worldwide during its theatrical releases."
M (1931 film),"M (German: M – Eine Stadt sucht einen Mörder— M – A City Searches for a Murderer) is a 1931 German thriller film directed by Fritz Lang and starring Peter Lorre. The film was written by Lang and his wife Thea von Harbou and was the director's first sound film.The film revolves around the actions of a serial killer of children and the manhunt for him, conducted by both the police and the criminal underworld. Now considered a timeless classic, the film was deemed by Lang to be his magnum opus."
The Shadow (1994 film),"The Shadow is a 1994 American superhero film from Universal Pictures, produced by Martin Bregman, Willi Bear, and Michael Scott Bregman, directed by Russell Mulcahy, that stars Alec Baldwin. The film co-stars John Lone, Penelope Ann Miller, Ian McKellen, Jonathan Winters, Peter Boyle, and Tim Curry. It is based on the pulp fiction character of the same name created in 1931 by Walter B. Gibson.The film was released to theaters on July 1, 1994 and received mixed reviews and was a commercial failure. Critics found the villain, screenplay, and storyline lacking, but praised the film's direction, acting, special effects, visual style, action sequences, and its music score by Jerry Goldsmith."
Big Fish,"Big Fish is a 2003 American fantasy drama film based on the 1998 novel of the same name by Daniel Wallace. The film was directed by Tim Burton and stars Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, and Marion Cotillard. Other roles are performed by Steve Buscemi, Helena Bonham Carter, Matthew McGrory, Alison Lohman, and Danny DeVito among others.
Edward Bloom (Finney), a former traveling salesman in the Southern United States with a gift for storytelling, is now confined to his deathbed. Will (Crudup), his estranged son, attempts to mend their relationship as Bloom relates tall tales of his eventful life as a young adult (portrayed by McGregor in the flashback scenes).
Screenwriter John August read a manuscript of the novel six months before it was published and convinced Columbia Pictures to acquire the rights. August began adapting the novel while producers negotiated with Steven Spielberg who planned to direct after finishing Minority Report (2002). Spielberg considered Jack Nicholson for the role of Edward Bloom, but eventually dropped the project to focus on Catch Me If You Can (2002). Tim Burton and Richard D. Zanuck took over after completing Planet of the Apes (2001) and brought McGregor and Albert Finney on board.
The film's theme of reconciliation between a dying father and his son had special significance for Burton, as his father had died in 2000 and his mother in 2002, a month before he signed on to direct. Big Fish was shot on location in Alabama in a series of fairy tale vignettes evoking the tone of a Southern Gothic fantasy. The film received award nominations in multiple film categories, including four Golden Globe Award nominations, seven nominations from the British Academy of Film and Television Arts, two Saturn Award nominations, and an Oscar and a Grammy Award nomination for Danny Elfman's original score. The set for the town of Spectre still remains and can be found in Millbrook, Alabama."
Catch Me If You Can,"Catch Me If You Can    Catch Me If You Can is a 2002 American biograp...
Catch Me If You Can    Catch Me If You Can is a 2002 American biograp...
dtype: object"
When Harry Met Sally...,"When Harry Met Sally... is a 1989 American romantic comedy film written by Nora Ephron and directed by Rob Reiner. It stars Billy Crystal as Harry and Meg Ryan as Sally. The story follows the title characters from the time they meet just before sharing a cross-country drive, through twelve years of chance encounters in New York City. The film raises the question ""Can men and women ever just be friends?"" and advances many ideas about relationships that became household concepts, such as ""high-maintenance"" and the ""transitional person"".The origins of the film were derived from Reiner's return to single life after a divorce. An interview Ephron conducted with Reiner provided the basis for Harry. Sally was based on Ephron and some of her friends. Crystal came on board and made his own contributions to the screenplay, making Harry funnier. Ephron supplied the structure of the film with much of the dialogue based on the real-life friendship between Reiner and Crystal. The soundtrack consists of standards performed by Harry Connick Jr., with a big band and orchestra arranged by Marc Shaiman. For his work on the soundtrack, Connick won his first Grammy Award for Best Jazz Male Vocal Performance.
Columbia Pictures released When Harry Met Sally... in select cities, letting word of mouth generate interest, before gradually expanding distribution. The film grossed $92.8 million in North America. Ephron received a British Academy Film Award, an Oscar nomination, and a Writers Guild of America Award nomination for her screenplay. The film is ranked 23rd on AFI's 100 Years... 100 Laughs list of the top comedy films in American cinema and number 60 on Bravo's ""100 Funniest Movies"". In early 2004, the film was adapted for the stage in a production starring Luke Perry and Alyson Hannigan."
Inglourious Basterds,"Inglourious Basterds is a 2009 war film written and directed by Quentin Tarantino and starring Brad Pitt, Christoph Waltz, Michael Fassbender, Eli Roth, Diane Kruger, Daniel Brühl, Til Schweiger and Mélanie Laurent. The film tells an alternate history story of two plots to assassinate Nazi Germany's leadership, one planned by Shosanna Dreyfus (Laurent), a young French Jewish cinema proprietor, and the other by a team of Jewish American soldiers led by First Lieutenant Aldo Raine (Pitt). Christoph Waltz co-stars as Hans Landa, an SS colonel who is tracking down Raine's group and is connected to Shosanna's past. The film's title was inspired by Italian director Enzo G. Castellari's macaroni combat film The Inglorious Bastards (1978).
Tarantino wrote the script in 1998, but struggled with the ending and chose instead to direct the two-part film Kill Bill. After directing Death Proof in 2007, Tarantino returned to work on Inglourious Basterds. A co-production of the United States and Germany, the film began principal photography in October 2008 and was filmed in Germany and France with a $70 million production budget. It premiered on May 20, 2009, at the 62nd Cannes Film Festival, and received a wide release in theaters in the United States and Europe in August 2009 by The Weinstein Company and Universal Pictures.
Inglourious Basterds grossed over $321 million in theaters worldwide, making it Tarantino's highest-grossing film to that point, until it was surpassed in box office by Django Unchained (2012) and Once Upon a Time in Hollywood (2019). The film received widespread acclaim and multiple awards and nominations, among them eight Academy Award nominations (including Best Picture, Best Director and Best Original Screenplay). For his role as Landa, Waltz won the Cannes Film Festival's Best Actor Award, as well as the BAFTA, Screen Actors Guild, Critics' Choice, Golden Globe, and Academy Award for Best Supporting Actor."
Back to the Future Part II,"Back to the Future Part II    Back to the Future Part II is a 1989 American ...
Back to the Future Part II    Back to the Future Part II is a 1989 American ...
dtype: object"
Butch Cassidy and the Sundance Kid,"Butch Cassidy and the Sundance Kid is a 1969 American Western film directed by George Roy Hill and written by William Goldman. Based loosely on fact, the film tells the story of Wild West outlaws Robert LeRoy Parker, known as Butch Cassidy (Paul Newman), and his partner Harry Longabaugh, the ""Sundance Kid"" (Robert Redford), who are on the run from a crack US posse after a string of train robberies. The pair and Sundance's lover, Etta Place (Katharine Ross), flee to Bolivia in search of a more successful criminal career.
In 2003, the film was selected for the United States National Film Registry by the Library of Congress as being ""culturally, historically, or aesthetically significant."" The American Film Institute ranked Butch Cassidy and the Sundance Kid as the 73rd-greatest American film on its ""AFI's 100 Years...100 Movies (10th Anniversary Edition)"" list. Butch Cassidy and the Sundance Kid were ranked 20th greatest heroes on ""AFI's 100 Years...100 Heroes and Villains"". Butch Cassidy and the Sundance Kid was selected by the American Film Institute as the 7th greatest Western of all time in the AFI's 10 Top 10 list in 2008."
The Godfather,"The Godfather    The Godfather is a 1972 American crime film di...
The Godfather    The Godfather is a 1972 American crime film di...
The Godfather    The Godfather is a 1972 American crime film di...
dtype: object"
Jurassic World,"Jurassic World is a 2015 American science fiction adventure film. It is the fourth installment of the Jurassic Park film series and the first installment of the planned Jurassic World trilogy, while also serving as a direct sequel to the franchise's first film, Jurassic Park (1993). It was directed by Colin Trevorrow, written by Derek Connolly and Trevorrow, produced by Frank Marshall and Patrick Crowley, and stars Chris Pratt, Bryce Dallas Howard, Vincent D'Onofrio, Ty Simpkins, Nick Robinson, Omar Sy, BD Wong, and Irrfan Khan. Set 22 years after the events of Jurassic Park, Jurassic World takes place on the same fictional Central American island of Isla Nublar, which is located off the Pacific coast of Costa Rica, where a theme park of cloned dinosaurs has operated for nearly a decade. The park plunges into chaos when a transgenic dinosaur escapes from its enclosure and goes on a rampage.
Universal Pictures intended to begin production of a fourth Jurassic Park film in 2004 for a mid-2005 release but development stalled while the script underwent several revisions. Following a suggestion from executive producer Steven Spielberg, writers Rick Jaffa and Amanda Silver explored the idea of a functional dinosaur park. Once Trevorrow was hired as director in 2013, he followed the same idea while developing a new script with Connolly. Filming lasted from April to August 2014 in Louisiana and Hawaii. The dinosaurs were created by Industrial Light & Magic using CGI and by Legacy Effects using life-sized animatronics.
Production was completed in May 2015, and Jurassic World was released in over 60 countries beginning on June 10, 2015. After a record-breaking opening weekend during which it became the first film to gross over $500 million, Jurassic World generated $1.6 billion in box office revenue, ranking sixth among the highest-grossing films of all time. It was also the second-highest-grossing film of 2015 and the highest-grossing in the franchise. Furthermore, it is the highest grossing film ever released by Universal Pictures unadjusted for inflation. The film received praise for Trevorrow's direction, Pratt and Howard's performances, and the visuals while criticism were aimed towards the screenplay and narrative. A sequel titled Jurassic World: Fallen Kingdom was released in June 2018. An animated series based on the film is scheduled for a 2020 release on Netflix."
Beauty and the Beast (1991 film),"Beauty and the Beast is a 1991 American animated musical romantic fantasy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. The 30th Disney animated feature film and the third released during the Disney Renaissance period, it is based on the 1756 French fairy tale of the same name by Jeanne-Marie Leprince de Beaumont (who was only credited in the French dub), and ideas from the 1946 French film of the same name directed by Jean Cocteau. Beauty and the Beast focuses on the relationship between the Beast (voice of Robby Benson), a prince who is magically transformed into a monster and his servants into household objects as punishment for his arrogance, and Belle (voice of Paige O'Hara), a young woman whom he imprisons in his castle to become a prince again. To break the curse, Beast must learn to love Belle and earn her love in return before the last petal falls from an enchanted rose or else the Beast will remain a monster forever. The film also features the voices of Richard White, Jerry Orbach, David Ogden Stiers, and Angela Lansbury.Walt Disney first attempted to adapt Beauty and the Beast into an animated film during the 1930s and 1950s, but was unsuccessful. Following the success of The Little Mermaid (1989), Walt Disney Pictures decided to adapt the fairy tale, which Richard Purdum originally conceived as a non-musical. Disney chairman Jeffrey Katzenberg eventually dismissed Purdum's idea and ordered that the film be a musical similar to The Little Mermaid instead. The film was directed by Gary Trousdale and Kirk Wise in their directorial debut, with a screenplay by Linda Woolverton story first credited to Roger Allers. Lyricist Howard Ashman and composer Alan Menken wrote the film's songs. Ashman, who additionally served as the film's executive producer, died of AIDS-related complications six months before the film's release, and the film is thus dedicated to his memory.
Beauty and the Beast premiered as an unfinished film at the New York Film Festival on September 29, 1991, followed by its theatrical release as a completed film at the El Capitan Theatre on November 13. The film grossed $425 million at the box office worldwide on a $25 million budget and was met with widespread critical acclaim toward its romantic narrative, animation (particularly the ballroom scene), characters and musical numbers. Beauty and the Beast won the Golden Globe Award for Best Motion Picture – Musical or Comedy, the first animated film to ever win that category. It also became the first animated film to be nominated for the Academy Award for Best Picture at the 64th Academy Awards, where it won the Academy Award for Best Original Score and Best Original Song for its title song and received additional nominations for Best Original Song and Best Sound. In April 1994, Beauty and the Beast became Disney's first animated film to be adapted into a Broadway musical. The success of the film spawned three direct-to-video follow-ups: Beauty and the Beast: The Enchanted Christmas (1997) and Beauty and the Beast: Belle's Magical World (1998), and Belle's Tales of Friendship (1999), all of which take place in the timeline of the original. This was followed by a spin-off television series, Sing Me a Story with Belle.
An IMAX version of the film was released in 2002, and included ""Human Again"", a new five-minute musical sequence that was previously included in the 1994 musical. That same year, the film was selected for preservation in the National Film Registry by the Library of Congress for being ""culturally, historically, or aesthetically significant"". After the success of the 3D re-release of The Lion King, the film was reissued in 3D in 2012. A live-action adaptation of the film directed by Bill Condon was released on March 17, 2017."
Mary Poppins Returns,"Mary Poppins Returns is a 2018 American musical fantasy film directed by Rob Marshall, with a screenplay written by David Magee and a story by Magee, Marshall, and John DeLuca. Loosely based on the book series Mary Poppins by P. L. Travers, the film is a sequel to the 1964 film Mary Poppins, and stars Emily Blunt as Mary Poppins, with Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Julie Walters, Dick Van Dyke, Angela Lansbury, Colin Firth, and Meryl Streep in supporting roles. Set in 1930s London, twenty-five years after the events of the original film, the film sees Mary Poppins, the former nanny of Jane and Michael Banks, returning one year after a family tragedy.
Walt Disney Pictures announced the film in September 2015. Marshall was hired later that month, and Blunt and Miranda were cast in February 2016. Principal photography lasted from February to July 2017, and took place at Shepperton Studios in England. Mary Poppins Returns had its world premiere at the Dolby Theatre in Hollywood on November 29, 2018, and was theatrically released in the United States on December 19, 2018, making it one of the longest intervals between film sequels in cinematic history, at 54 years.The film has grossed over $349 million worldwide and received generally positive reviews from critics, who praised the performances of the cast (particularly that of Blunt), direction, visuals, musical score, musical numbers, costume design, production values, and sense of nostalgia, although some critics found it derivative of its predecessor. It was chosen by both the National Board of Review and American Film Institute as one of the top ten films of 2018 and received numerous award nominations, including four at the 76th Golden Globe Awards (including for Best Motion Picture – Musical or Comedy), nine at the 24th Critics' Choice Awards, three at the 72nd British Academy Film Awards, and a SAG Award nomination for Blunt at the 25th Screen Actors Guild Awards. It also received four Academy Award nominations for Best Original Score, Best Original Song (""The Place Where Lost Things Go""), Best Production Design, and Best Costume Design at the 91st Academy Awards."
A Bug's Life,"A Bug's Life is a 1998 American computer-animated comedy film produced by Pixar Animation Studios for Walt Disney Pictures. It was the second film produced by Pixar. Directed by John Lasseter and co-directed and written by Andrew Stanton, the film involves a misfit ant, Flik, who is looking for ""tough warriors"" to save his colony from greedy grasshoppers, only to recruit a group of insects that turn out to be an inept circus troupe. The film stars the voices of Dave Foley, Kevin Spacey, Julia Louis-Dreyfus and Hayden Panettiere among others.
The film is inspired by Aesop's fable The Ant and the Grasshopper. Production began shortly after the release of Toy Story in 1995. The screenplay was penned by Stanton and comedy writers Donald McEnery and Bob Shaw from a story by Lasseter, Stanton, and Ranft. The ants in the film were redesigned to be more appealing, and Pixar's animation unit employed technical innovations in computer animation. Randy Newman composed the music for the film. During production, a controversial public feud erupted between Steve Jobs and Lasseter of Pixar and DreamWorks co-founder Jeffrey Katzenberg due to the parallel production of his similar film Antz, which was released the same year.
The film was released on November 20, 1998, and grossed $363 million in receipts, receiving positive reviews from critics. It was the first film to be digitally transferred frame-by-frame and released to DVD, and has been released multiple times on home video."
